# 0 degree yaw
# RV        A/D
# ===============================
  1.11E+01	4.60E-01
  1.12E+01	4.42E-01
  1.13E+01	4.21E-01
  1.14E+01	4.03E-01
  1.15E+01	3.85E-01
  1.16E+01	3.69E-01
  1.16E+01	3.55E-01
  1.17E+01	3.33E-01
  1.17E+01	2.93E-01
  1.18E+01	2.59E-01
  1.18E+01	2.36E-01
  1.19E+01	2.19E-01
  1.20E+01	1.96E-01
  1.21E+01	1.80E-01
  1.23E+01	1.64E-01
  1.27E+01	1.41E-01
  1.29E+01	1.36E-01
  1.31E+01	1.31E-01
  1.34E+01	1.26E-01
  1.36E+01	1.22E-01
  1.38E+01	1.19E-01
  1.40E+01	1.18E-01
  1.42E+01	1.20E-01
  1.45E+01	1.15E-01
  1.47E+01	1.13E-01
  1.49E+01	1.12E-01
  1.51E+01	1.11E-01
  1.54E+01	1.09E-01
  1.56E+01	1.10E-01
  1.58E+01	1.09E-01
  1.60E+01	1.08E-01
  1.63E+01	1.11E-01
  1.65E+01	1.08E-01
  1.67E+01	1.08E-01
  1.69E+01	1.08E-01
  1.72E+01	1.05E-01
  1.74E+01	1.08E-01
  1.76E+01	1.10E-01
  1.78E+01	1.12E-01
# ========================


# RV        f/f_N
# ========================
  2.25E+00	5.05E-01
  2.37E+00	5.21E-01
  3.10E+00	7.10E-01
  3.24E+00	6.85E-01
  3.34E+00	7.67E-01
  3.63E+00	7.30E-01
  3.66E+00	7.59E-01
  3.63E+00	7.92E-01
  3.99E+00	7.92E-01
  3.99E+00	8.29E-01
  4.13E+00	8.25E-01
  4.25E+00	8.45E-01
  4.39E+00	8.82E-01
  4.44E+00	9.27E-01
  4.44E+00	9.60E-01
  3.10E+00	9.68E-01
  3.23E+00	1.00E+00
  3.35E+00	9.68E-01
  3.59E+00	9.60E-01
  3.62E+00	1.01E+00
  3.76E+00	1.02E+00
  3.99E+00	1.04E+00
  4.04E+00	9.97E-01
  4.14E+00	1.02E+00
  4.21E+00	1.06E+00
  4.59E+00	1.05E+00
  4.70E+00	1.08E+00
  4.75E+00	1.01E+00
  4.85E+00	1.07E+00
  4.97E+00	1.10E+00
  5.24E+00	1.09E+00
  5.31E+00	1.10E+00
  5.49E+00	1.12E+00
  5.49E+00	1.15E+00
  5.68E+00	1.20E+00
  5.97E+00	1.19E+00
  6.07E+00	1.16E+00
  6.18E+00	1.21E+00
  6.49E+00	1.23E+00
  6.49E+00	1.20E+00
  6.63E+00	1.24E+00
  6.76E+00	1.22E+00
  7.00E+00	1.25E+00
  7.11E+00	1.29E+00
  7.34E+00	1.29E+00
  7.39E+00	1.27E+00
  7.59E+00	1.29E+00
  7.61E+00	1.35E+00
  6.65E+00	1.36E+00
  6.86E+00	1.36E+00
  6.96E+00	1.34E+00
  7.10E+00	1.35E+00
  7.83E+00	1.36E+00
  7.93E+00	1.41E+00
  8.03E+00	1.37E+00
  8.17E+00	1.40E+00
  8.41E+00	1.40E+00
  8.51E+00	1.36E+00
  8.61E+00	1.36E+00
  8.68E+00	1.33E+00
  8.93E+00	1.39E+00
  9.37E+00	1.36E+00
  9.55E+00	1.36E+00
  9.89E+00	1.36E+00
  9.93E+00	1.39E+00
  1.02E+01	1.36E+00
  1.04E+01	1.36E+00
  1.08E+01	1.36E+00
  1.13E+01	1.40E+00
  1.15E+01	1.38E+00
  1.16E+01	1.40E+00
  1.17E+01	1.41E+00
  1.19E+01	1.40E+00
  1.21E+01	1.40E+00
  1.24E+01	1.44E+00
  1.26E+01	1.47E+00
  1.35E+01	1.48E+00
  1.40E+01	1.55E+00
  1.16E+01	2.53E+00
  1.16E+01	2.71E+00
  1.19E+01	2.65E+00
  1.21E+01	2.75E+00
  1.23E+01	2.66E+00
  1.25E+01	2.86E+00
  1.35E+01	3.06E+00
  1.40E+01	3.13E+00
  2.14E+00	1.03E+00
  2.32E+00	1.03E+00
  2.24E+00	9.80E-01
# ========================
